Term or Phrase,Mean TF-IDF,Posting Count
schedule,0.0077,2
schedule caters,0.0077,2
shape ways,0.0077,2
simply,0.0077,2
simply spend,0.0077,2
space,0.0077,2
spend,0.0077,2
spend half,0.0077,2
spent,0.0077,2
spent remote,0.0077,2
strong community,0.0077,2
time quarter,0.0077,2
time remote,0.0077,2
time spent,0.0077,2
transparency,0.0077,2
veterans,0.0077,2
view,0.0077,2
ways,0.0077,2
ways number,0.0077,2
week,0.0077,2
week simply,0.0077,2
workday consider,0.0077,2
worlds,0.0077,2
worlds person,0.0077,2
application process,0.0075,3
businesses,0.0075,3
characteristic,0.0075,3
characteristic protected,0.0075,3
experiences perspectives,0.0075,3
mental,0.0075,3
military,0.0075,3
physical,0.0075,3
pregnancy,0.0075,3
religious,0.0075,3
resources,0.0075,3
site,0.0075,3
welcomed,0.0075,3
days ago,0.0072,2
posted days,0.0072,2
000 innovative,0.0059,2
265,0.0059,2
265 000,0.0059,2
401 flexible,0.0059,2
accelerating revenue,0.0059,2
access analyze,0.0059,2
access professional,0.0059,2
accessible,0.0059,2
accessible actionable,0.0059,2
accordance,0.0059,2
accordance applicable,0.0059,2
accounts 401,0.0059,2
accounts flexible,0.0059,2
action learning,0.0059,2
actionable like,0.0059,2
active,0.0059,2
active military,0.0059,2
ad,0.0059,2
ad platforms,0.0059,2
addresses,0.0059,2
addresses klaviyo,0.0059,2
advanced analyst,0.0059,2
advanced python,0.0059,2
advantage,0.0059,2
advantage various,0.0059,2
age sex,0.0059,2
allowance,0.0059,2
allowance access,0.0059,2
allows,0.0059,2
allows companies,0.0059,2
ambitious,0.0059,2
ambitious collaborative,0.0059,2
analyses,0.0059,2
analyses identifying,0.0059,2
analysis anomaly,0.0059,2
analysis determining,0.0059,2
analyst data,0.0059,2
analytical strategic,0.0059,2
analytically,0.0059,2
analytically minded,0.0059,2
analytics data,0.0059,2
analytics projects,0.0059,2
analytics resources,0.0059,2
analytics successful,0.0059,2
analyze data,0.0059,2
analyze use,0.0059,2
analyzing customer,0.0059,2
anomaly,0.0059,2
anomaly detection,0.0059,2
applying,0.0059,2
applying want,0.0059,2
appreciate,0.0059,2
appreciate experiences,0.0059,2
appropriate business,0.0059,2
appropriate modeling,0.0059,2
archetype,0.0059,2
archetype maturity,0.0059,2
ask payment,0.0059,2
attention swift,0.0059,2
audience balance,0.0059,2
automation,0.0059,2
automation platform,0.0059,2
autonomously,0.0059,2
autonomously bias,0.0059,2
backgrounds,0.0059,2
backgrounds experiences,0.0059,2
balance attention,0.0059,2
bank,0.0059,2
bank details,0.0059,2
based journey,0.0059,2
based solutions,0.0059,2
basis race,0.0059,2
behavior,0.0059,2
behavior business,0.0059,2
behavioral,0.0059,2
behavioral data,0.0059,2
believe deserves,0.0059,2
benchmarks metrics,0.0059,2
benchmarks success,0.0059,2
benefits hope,0.0059,2
benefits medical,0.0059,2
best career,0.0059,2
bias,0.0059,2
bias action,0.0059,2
big tech,0.0059,2
blend,0.0059,2
blend analytical,0.0059,2
brings traditional,0.0059,2
brings workplace,0.0059,2
build customer,0.0059,2
build model,0.0059,2
build train,0.0059,2
business decision,0.0059,2
business drivers,0.0059,2
business leaders,0.0059,2
business planning,0.0059,2
business problem,0.0059,2
businesses klaviyo,0.0059,2
calls,0.0059,2
candidate instrumental,0.0059,2
candidate intellectually,0.0059,2
candidate leverage,0.0059,2
career ll,0.0059,2
career site,0.0059,2
careers,0.0059,2
careers klaviyo,0.0059,2
cautious,0.0059,2
cautious offers,0.0059,2
challenging,0.0059,2
challenging problems,0.0059,2
citizenship national,0.0059,2
classification,0.0059,2
classification decision,0.0059,2
clay,0.0059,2
clay vee,0.0059,2
clear milestones,0.0059,2
close,0.0059,2
close exact,0.0059,2
closely,0.0059,2
closely customer,0.0059,2
clustering,0.0059,2
clustering principal,0.0059,2
coaching,0.0059,2
coaching service,0.0059,2
cohesive,0.0059,2
cohesive story,0.0059,2
collaborate cross,0.0059,2
collaborate senior,0.0059,2
collaborative teammates,0.0059,2
color religion,0.0059,2
com empower,0.0059,2
com instant,0.0059,2
com li,0.0059,2
come non,0.0059,2
comfortable operating,0.0059,2
committed policy,0.0059,2
communicate effectively,0.0059,2
communication organizational,0.0059,2
communications hybrid,0.0059,2
companies grow,0.0059,2
companies like,0.0059,2
compensation hourly,0.0059,2
component,0.0059,2
component analysis,0.0059,2
